Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
2001,Fast Dock Silent,Off anything pay.,Hunter-Trujillo,Automotive,46,USD,164,1354152059799,Sienna,15x20 cm,out_of_stock,33
2002,Smart Printer Lock Thermostat Compact Advanced,Young act institution white tree decide.,Stein-Hahn,Cleaning Supplies,547,USD,148,6433766954555,DimGray,XXL,in_stock,2
2003,Clean Projector Rechargeable Clean,Husband be material actually hundred everything.,Doyle Ltd,Automotive,615,USD,13,2672379108137,Aquamarine,M,out_of_stock,24
2004,Fan,Key away career hotel professional.,Garner-Atkins,Automotive,431,USD,60,7159626683586,PaleVioletRed,10x10 cm,limited_stock,60
2005,Lock,Gun capital make Democrat truth.,Mccall-Miles,Office Supplies,124,USD,544,5200593767495,DarkGray,15x20 cm,pre_order,62
2006,Compact Trimmer Heater Eco,Method government common act however.,Galloway-Bridges,"Accessories (Bags, Hats, Belts)",861,USD,521,0370879552864,DimGray,XXL,backorder,99
2007,Wireless Thermostat Rechargeable,Image paper son second begin buy bag.,"Snow, Petty and Levine",Fitness Equipment,542,USD,961,6112287890435,SandyBrown,Large,out_of_stock,46
2008,Ultra Radio Stove Shaver Plus Edge,Pull argue green.,Rose-Haas,Automotive,820,USD,890,0973641082349,WhiteSmoke,M,out_of_stock,11
2009,Smart Tablet Advanced Smart,Short sit surface look.,Cooper Ltd,Skincare,735,USD,808,0526457811216,OliveDrab,S,pre_order,13
2010,Smart Thermostat Camera Watch Automatic 360 Premium,Least near but here.,Bryant PLC,"Accessories (Bags, Hats, Belts)",89,USD,543,9901928863900,Turquoise,12x18 in,backorder,45
2011,Eco Heater Mixer Shaver Sense Air Automatic,At sing every meet current bit ability.,Baker LLC,Headphones & Earbuds,913,USD,910,6300522749222,Fuchsia,Medium,out_of_stock,82
2012,Portable Lock Lamp,Even event change stop anything statement finally would.,Holloway Group,Fishing & Hunting,142,USD,608,9703807993957,LightCoral,15x20 cm,discontinued,86
2013,Silent Webcam Lite Silent,News somebody bring.,"Gates, Rice and Foley",Kids' Clothing,617,USD,686,4188915922887,LimeGreen,S,in_stock,56
2014,Wireless Webcam Toaster,Newspaper quickly cause account.,Berger LLC,Home Decor,29,USD,790,7306542881323,Lime,Extra Large,limited_stock,69
2015,Ultra Scanner Shaver Powerbank,Ago apply nation subject hour stock.,Zuniga-Mcpherson,Kids' Clothing,969,USD,115,4789267387968,PapayaWhip,30x40 cm,out_of_stock,98
2016,Premium Monitor Cooler Dock Silent Go,Manage process population factor him.,Mckinney-Berry,Automotive,186,USD,625,8708766229834,FloralWhite,100x200 mm,in_stock,89
2017,Smart Dock Sense Touch Eco,Key hit war be without.,Walter PLC,Health & Wellness,332,USD,910,8276403041250,FireBrick,12x18 in,limited_stock,34
2018,Ultra Dock,Begin call garden interesting through everyone door.,"Cuevas, Koch and Lawson","Accessories (Bags, Hats, Belts)",980,USD,813,0915037619029,SaddleBrown,Large,out_of_stock,20
2019,Mini Radio Treadmill Go Ultra Automatic,Same TV base play really.,Case-Mathis,Women's Clothing,437,USD,2,6852465245175,LemonChiffon,XL,out_of_stock,79
2020,Eco Tablet,Agent seat find thus growth where.,Quinn-Hale,Kids' Clothing,363,USD,447,7560928136173,DarkSeaGreen,Small,backorder,88
2021,Compact Radio Mixer Premium,Cultural else attention green.,Harrington-Lyons,"Accessories (Bags, Hats, Belts)",539,USD,77,8820603859285,SeaShell,8x10 in,backorder,5
2022,Portable Brush Smart Compact Air,Follow around writer development hand.,"Steele, Blake and Mueller",Women's Clothing,42,USD,188,8354494168824,LightSeaGreen,Small,in_stock,5
2023,Thermostat Drone Heater,Space now wind gas leader.,Douglas-Patel,Fragrances,998,USD,51,6203951065461,SeaShell,8x10 in,limited_stock,85
2024,Eco Freezer Powerbank Watch Ultra,Join avoid story foreign late wear produce.,Mccullough Ltd,Toys & Games,206,USD,172,6498214040846,LightCoral,8x10 in,out_of_stock,34
2025,Mini Speakerphone Stove Tablet Touch Smart Edge,Among nice reach green tough need recognize.,Wallace LLC,Cleaning Supplies,827,USD,905,4291064567691,DimGray,30x40 cm,backorder,25
2026,Fast Webcam Scooter One Digital,Play song director.,"Copeland, Morrow and Snyder",Makeup,27,USD,284,5562709629777,SeaGreen,M,discontinued,24
